class_id,class_name,precision,recall,f1,support
0,HEAD_14,0.4444,0.5714,0.5000,7
1,HEAD_18,0.0000,0.0000,0.0000,4
2,HEAD_38,0.2222,0.5000,0.3077,4
3,HEAD_55,0.2857,0.4000,0.3333,5
4,HEAD_71,0.0000,0.0000,0.0000,3
5,HEAD_76,0.0000,0.0000,0.0000,9
6,HEAD_98,0.5000,0.6667,0.5714,6
7,HEAD_101,0.5000,0.5000,0.5000,6
8,HEAD_102,0.0000,0.0000,0.0000,3
9,HEAD_106,0.2667,0.2667,0.2667,15
10,HEAD_108,0.3333,0.3333,0.3333,3
11,HEAD_112,0.3333,0.2500,0.2857,4
12,HEAD_136,0.0000,0.0000,0.0000,3
13,HEAD_145,0.3636,0.4444,0.4000,9
14,HEAD_148,0.0909,0.2000,0.1250,5
15,HEAD_151,0.0000,0.0000,0.0000,5
16,HEAD_155,0.2000,0.2500,0.2222,4
17,HEAD_176,0.1667,0.1250,0.1429,8
18,HEAD_189,0.4286,0.5000,0.4615,6
19,HEAD_195,0.5000,0.3333,0.4000,3
20,HEAD_205,0.0000,0.0000,0.0000,5
21,HEAD_226,1.0000,0.2000,0.3333,5
22,HEAD_244,0.2500,0.5000,0.3333,4
23,HEAD_247,0.3333,0.4286,0.3750,7
24,HEAD_253,0.5000,0.3333,0.4000,3
25,HEAD_255,0.3333,0.3333,0.3333,3
26,HEAD_259,0.5000,0.2500,0.3333,4
27,HEAD_290,0.5000,0.6667,0.5714,3
28,HEAD_319,0.2500,0.3333,0.2857,3
29,HEAD_321,0.0000,0.0000,0.0000,6
30,HEAD_350,0.0000,0.0000,0.0000,7
31,HEAD_367,0.5556,0.9091,0.6897,11
32,HEAD_391,0.4545,0.6250,0.5263,8
33,HEAD_402,0.2500,0.3333,0.2857,3
34,HEAD_419,0.0000,0.0000,0.0000,3
35,HEAD_433,0.2500,0.3333,0.2857,3
36,HEAD_449,0.5714,1.0000,0.7273,4
37,HEAD_455,0.3636,0.4444,0.4000,9
38,HEAD_473,0.2222,0.4000,0.2857,5
39,HEAD_478,0.0769,0.0769,0.0769,13
40,HEAD_483,0.3333,0.2000,0.2500,5
41,HEAD_484,0.2000,0.3333,0.2500,3
42,HEAD_494,0.1250,0.2000,0.1538,5
43,HEAD_503,0.4286,0.3750,0.4000,8
44,HEAD_504,0.2000,0.2500,0.2222,4
45,MID_4,0.0000,0.0000,0.0000,1
46,MID_6,0.0000,0.0000,0.0000,1
47,MID_15,0.0000,0.0000,0.0000,2
48,MID_16,1.0000,1.0000,1.0000,1
49,MID_20,0.0000,0.0000,0.0000,2
50,MID_26,0.0000,0.0000,0.0000,1
51,MID_29,0.0000,0.0000,0.0000,2
52,MID_36,0.0000,0.0000,0.0000,1
53,MID_37,0.5000,0.5000,0.5000,2
54,MID_39,0.0000,0.0000,0.0000,2
55,MID_47,0.0000,0.0000,0.0000,2
56,MID_53,0.0000,0.0000,0.0000,2
57,MID_59,0.0000,0.0000,0.0000,1
58,MID_88,0.0000,0.0000,0.0000,2
59,MID_89,0.5000,0.5000,0.5000,2
60,MID_92,0.0000,0.0000,0.0000,1
61,MID_94,0.0000,0.0000,0.0000,2
62,MID_95,1.0000,0.3333,0.5000,3
63,MID_99,1.0000,1.0000,1.0000,1
64,MID_109,0.0000,0.0000,0.0000,1
65,MID_113,0.0000,0.0000,0.0000,1
66,MID_119,0.0000,0.0000,0.0000,1
67,MID_120,0.0000,0.0000,0.0000,1
68,MID_126,0.0000,0.0000,0.0000,1
69,MID_139,0.0000,0.0000,0.0000,2
70,MID_142,0.0000,0.0000,0.0000,1
71,MID_165,0.0000,0.0000,0.0000,2
72,MID_167,1.0000,0.5000,0.6667,2
73,MID_168,0.0000,0.0000,0.0000,2
74,MID_169,0.0000,0.0000,0.0000,2
75,MID_170,0.0000,0.0000,0.0000,1
76,MID_172,0.0000,0.0000,0.0000,3
77,MID_175,0.0000,0.0000,0.0000,2
78,MID_177,0.0000,0.0000,0.0000,1
79,MID_184,1.0000,1.0000,1.0000,1
80,MID_188,0.0000,0.0000,0.0000,2
81,MID_193,0.0000,0.0000,0.0000,1
82,MID_203,0.2500,0.5000,0.3333,2
83,MID_218,0.6667,0.6667,0.6667,3
84,MID_219,0.0000,0.0000,0.0000,2
85,MID_225,0.0000,0.0000,0.0000,1
86,MID_228,1.0000,1.0000,1.0000,2
87,MID_231,0.2000,0.5000,0.2857,2
88,MID_234,0.0000,0.0000,0.0000,1
89,MID_235,0.0000,0.0000,0.0000,2
90,MID_238,0.0000,0.0000,0.0000,2
91,MID_240,0.0000,0.0000,0.0000,1
92,MID_243,1.0000,0.5000,0.6667,2
93,MID_249,1.0000,0.5000,0.6667,2
94,MID_251,0.0000,0.0000,0.0000,2
95,MID_271,0.0000,0.0000,0.0000,1
96,MID_272,0.0000,0.0000,0.0000,2
97,MID_275,0.0000,0.0000,0.0000,2
98,MID_278,1.0000,1.0000,1.0000,1
99,MID_282,0.0000,0.0000,0.0000,1
100,MID_286,1.0000,0.3333,0.5000,3
101,MID_288,0.0000,0.0000,0.0000,2
102,MID_289,0.0000,0.0000,0.0000,1
103,MID_306,0.0000,0.0000,0.0000,1
104,MID_309,0.0000,0.0000,0.0000,1
105,MID_312,0.0000,0.0000,0.0000,1
106,MID_313,0.0000,0.0000,0.0000,1
107,MID_317,0.0000,0.0000,0.0000,2
108,MID_320,0.0000,0.0000,0.0000,1
109,MID_326,0.0000,0.0000,0.0000,1
110,MID_328,0.0000,0.0000,0.0000,1
111,MID_330,0.0000,0.0000,0.0000,2
112,MID_336,0.0000,0.0000,0.0000,1
113,MID_342,0.0000,0.0000,0.0000,1
114,MID_353,0.0000,0.0000,0.0000,2
115,MID_354,1.0000,0.5000,0.6667,2
